Bil,Jantina,Umur,Tahap,Agama,Bangsa,Status_Perkahwinan,Kunjungan,Kekerapan,Ahli,Jarak,Strategik,Penting,Manfaat,Keperluan,Kekurangan_pengunjung,Pendapat_penutupan,Alternatif,Anjuran,Promosi,Operasi
1,Lelaki,Dewasa,PMR,Islam,Melayu,Duda,T,,T,3,T,Y,Y,Y,,TP,Tidak Mencari Bahan Lain,,,Y
2,Lelaki,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,2 minggu sekali,Y,3,T,Y,Y,Y,Y,P,Perpustakaan Bandar Terdekat,Y,Baik,O
3,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,T,Tidak pernah,T,3,T,Y,Y,Y,,P,Sumber Dalam Talian,Y,Baik,Y
4,Lelaki,Dewasa,PMR,Islam,Melayu,Duda,T,,T,2,Y,Y,Y,Y,,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
5,Perempuan,Dewasa,STPM,Islam,Melayu,Balu,PF,Kadang-kadang,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,y
6,Perempuan,Dewasa,STPM,Islam,Melayu,Bujang,PF,2 minggu sekali,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Sangat Baik,Y
7,Perempuan,Dewasa,STPM,Islam,Melayu,Berkahwin,PF,Sebulan sekali,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Sangat Baik,Y
8,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Sebulan sekali,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
9,Perempuan,Dewasa,SPM,Islam,Melayu,Bujang,PF,Setiap minggu,Y,3,Y,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
10,Lelaki,Dewasa,STPM,Islam,Melayu,Berkahwin,PF,2 minggu sekali,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
11,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Kadang-kadang,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
12,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Kadang-kadang,Y,3,T,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
13,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Kadang-kadang,Y,3,O,Y,Y,Y,Y,TP,Sumber Dalam Talian,Y,Baik,Y
14,Perempuan,Dewasa,Ijazah,Islam,Melayu,Bujang,T,Jarang-jarang,Y,3,Y,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,T,Neutral,Y
15,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Sebulan sekali,Y,2,Y,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
16,Lelaki,Remaja,SPM,Islam,Melayu,Bujang,PF&PD,Setiap minggu,Y,3,Y,Y,Y,Y,T,TP,Perpustakaan Bandar Terdekat,Y,Baik,Y
17,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Jarang-jarang,Y,2,Y,Y,Y,Y,Y,TP,Sumber Dalam Talian,Y,Baik,Y
18,Perempuan,Dewasa,SPM,Islam,Melayu,Berkahwin,PF,Jarang-jarang,Y,2,Y,Y,Y,Y,Y,TP,Perpustakaan Bandar Terdekat,Y,Sangat Baik,Y
