Bil,Kunjungan,Sebab1,Sebab2,Sebab3
1,T,Lokasi tidak strategik,Kekangan dari aspek masa lapang,
2,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,
3,T,Lokasi tidak strategik,Bangunan tidak menarik,Kekangan Dari Aspek Masa Lapang
4,T,Kekangan dari aspek masa lapang,,
5,PF,Menggunakan kemudahan perpustakaan,,
6,PF,Menggunakan kemudahan perpustakaan,,
7,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,
8,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,Menyertai Aktiviti Perpustakaan
9,PF,Menggunakan kemudahan perpustakaan,,
10,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,Membaca
11,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,
12,PF,Menggunakan kemudahan perpustakaan,Pinjaman dan pemulangan buku,
13,PF,Menggunakan kemudahan perpustakaan,Membaca,
14,T,Kurangnya promosi,Bangunan tidak menarik,Tidak mengetahui dengan lebih mendalam perkhidmatan & kemudahan yang disediakan
15,PF,Menggunakan kemudahan perpustakaan,,
16,PF&PD,Menggunakan kemudahan perpustakaan,Menyertai aktiviti perpustakaan,Pinjaman dan pemulangan buku
17,PF,Pinjaman dan pemulangan buku,,
18,PF,Menggunakan kemudahan perpustakaan,,
